"long","lat","channel_nu"
-121.274174374651,37.6896461866527,1
-121.260621789469,37.7194357832919,2
-121.280390576698,37.7116913581839,3
-121.291150250154,37.7480360260862,4
-121.308353289615,37.7667260882938,5
-121.308245647661,37.7888553295657,6
-121.312833472045,37.8018135447434,7
-121.315231019678,37.8167777371062,8
-121.315133610533,37.8345215921445,9
-121.320013596457,37.8544503582994,10
-121.323407938483,37.9058742663201,12
-121.323330189747,37.9228256612842,13
-121.32776570025,37.9326244173212,14
-121.337442522609,37.9391650826798,15
-121.340097190046,37.9465435932924,16
-121.340851051528,37.9527093538625,18
-121.35341537128,37.9564863617007,19
-121.364439205558,37.9629178005954,20
-121.375635957776,37.9724155789507,21
-121.393070283434,37.9863778599754,22
-121.411925327746,37.9938346891962,23
-121.427895721122,37.9943697268333,24
-121.440791875613,37.995470895642,25
-121.444361082864,38.0035398638706,26
-121.45245405072,38.000417952325,27
-121.451580635328,38.0106089083958,28
-121.460457622228,38.0094586230545,29
-121.45263466416,38.0054883049848,30
-121.463498219817,38.0198697853869,31
-121.477974010621,38.0258851016181,32
-121.492237151588,38.0338980051693,33
-121.480785057748,38.0323733395723,34
-121.495876757193,38.0353194403567,35
-121.52751287223,38.0550840036421,38
-121.532540612511,38.0627200624506,39
-121.542139245427,38.0654566332128,40
-121.542445867736,38.0572181986812,41
-121.57136886087,38.0806034708436,43
-121.575017620837,38.0897308614452,44
-121.669756276509,38.096284317367,47
-121.676239402033,38.0694665608937,48
-121.710674165578,38.0340564974954,49
-121.74070051191,38.0282900962246,50
-121.776927935118,38.0164165338654,51
-121.817392388526,38.0204964091851,52
-121.836512425516,38.0532556372808,53
-121.333752223792,37.8083164293844,54
-121.333212580876,37.8179257249781,55
-121.342538953327,37.8173091403679,56
-121.353042899383,37.8166493118213,57
-121.366801382755,37.8190593264069,58
-121.379621062861,37.8197527764942,59
-121.383490628938,37.8116926050973,60
-121.397123221423,37.8064697325921,61
-121.413573424309,37.8098731388935,62
-121.415049693507,37.8070657649051,65
-121.416181382314,37.8053163570687,66
-121.420657331207,37.8031905573393,67
-121.427188554025,37.8007596450338,69
-121.451165454224,37.8034404379358,71
-121.46647834558,37.801868409438,72
-121.472343959172,37.7935917032436,73
-121.480339392805,37.7858138680574,74
-121.490152846891,37.7821298862772,75
-121.503071457043,37.787815553086,76
-121.515608584177,37.792092175849,77
-121.527734642702,37.8002346642341,78
-121.540506514515,37.8084980869322,79
-121.552075501704,37.8146863883773,80
-121.553061688662,37.8203860658756,81
-121.551406702097,37.8262146399395,82
-121.690137271382,38.0542150319062,83
-121.561190288084,37.8539755540756,85
-121.567823723395,37.8596521561345,86
-121.576308603177,37.8680353543413,88
-121.575247574538,37.8807522261225,89
-121.569587755662,37.8910721166338,90
-121.568860069877,37.9010734592932,91
-121.563336772212,37.9098419649951,92
-121.558655281869,37.9203617734702,94
-121.557529250825,37.929956612618,95
-121.561852193169,37.9372841872651,96
-121.567805248501,37.9441296629287,97
-121.564815549556,37.9520604149212,101
-121.569033121221,37.9545942905643,102
-121.569266781905,37.9573024137768,104
-121.571602666921,37.9636516756175,105
-121.574414627747,37.9724252586634,106
-121.572355600172,37.9794183777165,107
-121.57261508581,37.9797547696595,108
-121.57691194822,37.9929050415838,111
-121.571500897943,37.9981501704447,114
-121.58005135632,38.003802202779,115
-121.575377806929,38.003633313508,116
-121.582730674924,38.0209632792248,117
-121.572047756635,38.0164852253542,118
-121.571440109199,38.0306057113621,119
-121.579861766133,38.0375843759473,120
-121.581708548924,38.0536186350084,122
-121.579426197837,38.0692842706379,124
-121.377981409573,37.8243721970717,125
-121.385434852854,37.8330446982271,126
-121.378209618474,37.8491278944604,127
-121.375278851384,37.8656557487838,128
-121.384943748464,37.8808219583848,129
-121.404272444193,37.8862982977888,130
-121.423481272316,37.8894268647958,131
-121.441839296527,37.8884217025375,132
-121.459385281164,37.8821889488605,133
-121.480749617806,37.8855896517867,134
-121.488825004167,37.8922064632397,135
-121.496600038395,37.8993896955556,136
-121.505767414731,37.9039908033962,137
-121.513518606922,37.9160163728954,139
-121.526171997863,37.9242108088681,140
-121.52668239572,37.9217825799482,141
-121.532115146689,37.931227553083,142
-121.533096971809,37.9369027262681,143
-121.533705020085,37.9449566941779,144
-121.529165011698,37.9450006014295,145
-121.528471313584,37.9500048038592,146
-121.527048450461,37.9576559512189,147
-121.530074574344,37.9540510285725,148
-121.533142899111,37.9669553460046,149
-121.533035921576,37.9755613870256,150
-121.530773405827,37.9854502162505,151
-121.522943512267,37.9994891002483,153
-121.513423275298,37.9987754350334,154
-121.509267376132,38.0080558409834,155
-121.516235727067,38.0065836015669,156
-121.512490119352,38.0106907063206,157
-121.512490107965,38.0106907061766,158
-121.517696109065,38.0161540398011,159
-121.502789080764,38.0264304289623,160
-121.521147059699,38.049336910889,162
-121.534441917784,38.048220641082,163
-121.516300318493,37.9768887958049,164
-121.514118981328,37.9867318628193,165
-121.50778691745,37.9922879934576,166
-121.512823012833,37.9979295197579,168
-121.357587830559,37.941190247875,169
-121.377550116161,37.9506278647808,170
-121.374903302546,37.9625381135648,171
-121.448243959428,37.9941907915735,172
-121.462525787401,37.9886075414834,173
-121.475167064042,37.9801086229819,174
-121.483666028105,37.9715207519248,175
-121.50312558034,37.9716353916089,176
-121.51682966081,37.9716752214022,177
-121.530602211399,37.96643328132,178
-121.529579362348,37.9715937887225,179
-121.442120350402,37.9443805471718,180
-121.458776969478,37.9600227708844,181
-121.47511598382,37.9660332481507,182
-121.420458090323,37.7963200433336,183
-121.419654936263,37.7853786781935,184
-121.357946678928,37.7689862291147,185
-121.363058391187,37.7680415678439,186
-121.374147236099,37.768574411951,187
-121.381287432019,37.7702575321505,188
-121.382809950017,37.774326307998,189
-121.39431261183,37.7769166173912,190
-121.401240986338,37.7773070724629,191
-121.403821846313,37.7778650287992,192
-121.409001553799,37.7829349259748,193
-121.417189307472,37.7889109860845,194
-121.30876414721,37.7602471172796,195
-121.32315641099,37.7693644810793,196
-121.338639535651,37.7835760570514,197
-121.361277173043,37.797390559483,198
-121.375745167784,37.8042291175459,199
-121.363495935718,37.7923396378858,201
-121.382051628803,37.8032414647712,202
-121.402355199843,37.802614041885,203
-121.420999017001,37.8201030223867,204
-121.424457009664,37.8148838239581,205
-121.43940486997,37.8198538215992,206
-121.458268172949,37.820148910241,207
-121.471072140862,37.8200442288979,208
-121.485740760496,37.8200112746188,209
-121.50059424092,37.8199037318896,210
-121.511871101777,37.8199153096348,211
-121.526839542386,37.819808724884,212
-121.545140016534,37.8197664135276,213
-121.56353648783,37.8160334387274,214
-121.697714483631,38.0163348098026,215
-121.580161859237,37.8098664765608,216
-121.547963020983,37.8316746499415,217
-121.535584796282,37.847544340553,219
-121.538020887359,37.8497382340487,220
-121.539598047712,37.8474237210238,221
-121.541589772165,37.8538118710012,222
-121.544893430009,37.8560797956235,223
-121.546022805328,37.8530281686139,224
-121.551419748121,37.8590447831845,225
-121.506431204192,37.8812874793995,227
-121.514603566829,37.8778357973002,228
-121.537804851214,37.8680180755627,229
-121.547676342731,37.8637200561016,230
-121.556767831652,37.8582669583249,231
-121.55459593437,37.8337989216457,232
-121.523553421583,37.9139142323784,233
-121.544283345083,37.9136055523118,234
-121.561909572753,37.9133949751544,235
-121.573722921208,37.9170416089505,236
-121.588890255929,37.9195473765507,237
-121.595931613071,37.9177642793848,238
-121.607595947535,37.9252081633966,239
-121.609437241574,37.937041920111,240
-121.609430352893,37.9449024627895,241
-121.603742121096,37.9568180795129,242
-121.594640617853,37.9650158882147,243
-121.584327328504,37.9714359350236,244
-121.594950006429,37.9757989551911,245
-121.628462241983,37.9759970366757,247
-121.53134956285,38.0046550181561,248
-121.563173012661,38.0080125224173,250
-121.592369085585,37.8386666768212,252
-121.5871195126,37.8481315849148,253
-121.583939904742,37.8563651095525,254
-121.5697747524,37.8569239663914,255
